relation_id,chunk_id,qa_id,candidate_relation_type,validated_relation_type,keep,source_entity_id,source_name,source_type,target_entity_id,target_name,target_type,evidence,confidence,reason,provider,model,edge_id,original_relation_id,graph_relation_type,edge_direction
supp_rel_normal_bp,supp_chunk_normal_range_001,ahd5k_00085,HAS_NORMAL_RANGE,HAS_NORMAL_RANGE,true,supp_ent_measurement_bp,ضغط الدم,Measurement,supp_ent_range_bp,140-80 إذا لا توجد أمراض مصاحبة,Range,حسب عوامل الخطورة الأخرى كالسكري والكلى؛ إذا لا توجد أمراض مصاحبة فالقيمة المذكورة 140-80.,0.99,dataset-derived supplemental fact from ahd5k_00085,dataset_derived,ahd_qa_source,supp_rel_normal_bp,supp_rel_normal_bp,HAS_NORMAL_RANGE,direct
supp_rel_normal_hr,supp_chunk_normal_range_002,ahd5k_00085,HAS_NORMAL_RANGE,HAS_NORMAL_RANGE,true,supp_ent_measurement_hr,نبض القلب,Measurement,supp_ent_range_hr,65-85 تقريبا وقد يقبل أقل أو أكثر,Range,ضربات القلب تقريبا من 65-85، ويمكن قبول أقل أو أكثر حسب الحالة.,0.99,dataset-derived supplemental fact from ahd5k_00085,dataset_derived,ahd_qa_source,supp_rel_normal_hr,supp_rel_normal_hr,HAS_NORMAL_RANGE,direct
supp_rel_diclofenac_side_effect,supp_chunk_drug_001,ahd5k_00065,HAS_ADVERSE_EFFECT,HAS_ADVERSE_EFFECT,true,supp_ent_drug_diclofenac,ديكلوفيناك,Drug,supp_ent_side_effect_gi,تهيج المعدة ومشاكل هضمية,SideEffect,الأولفين هو نفس فولتارين ويحتويان على ديكلوفيناك، ولهم نفس الأعراض الجانبية، وينصح بأخذه بعد الأكل لتقليل تهيج الجهاز الهضمي.,0.99,dataset-derived supplemental fact from ahd5k_00065,dataset_derived,ahd_qa_source,supp_rel_diclofenac_side_effect,supp_rel_diclofenac_side_effect,HAS_ADVERSE_EFFECT,direct
supp_rel_diclofenac_supervision,supp_chunk_drug_001,ahd5k_00065,REQUIRES_MEDICAL_SUPERVISION_FOR,REQUIRES_MEDICAL_SUPERVISION_FOR,true,supp_ent_drug_diclofenac,ديكلوفيناك,Drug,supp_ent_migraine,الصداع الشقيقة,Symptom,في حال الشقيقة الشديدة توجد أدوية أخرى ويذكر المصدر إمكانية استشارة الطبيب لذلك.,0.99,dataset-derived supplemental fact from ahd5k_00065,dataset_derived,ahd_qa_source,supp_rel_diclofenac_supervision,supp_rel_diclofenac_supervision,REQUIRES_MEDICAL_SUPERVISION_FOR,direct
supp_rel_primolut_pregnancy,supp_chunk_drug_002,ahd5k_00439,REQUIRES_MEDICAL_SUPERVISION_FOR,REQUIRES_MEDICAL_SUPERVISION_FOR,true,supp_ent_drug_primolut,بريمولوت ن,Drug,supp_ent_state_pregnancy,إيقاف الدواء ومراجعة الطبيب أثناء الحمل,Condition,إذا كانت المريضة حاملا وتستعمل بريمولوت ن فيجب إيقافه؛ يذكر المصدر دراسات عن احتمال تشوهات في القلب والأوعية والأنبوب العصبي والدماغ.,0.99,dataset-derived supplemental fact from ahd5k_00439,dataset_derived,ahd_qa_source,supp_rel_primolut_pregnancy,supp_rel_primolut_pregnancy,REQUIRES_MEDICAL_SUPERVISION_FOR,direct
supp_rel_dental_aftercare,supp_chunk_dental_001,ahd5k_00315,HAS_AFTERCARE_INSTRUCTION,HAS_AFTERCARE_INSTRUCTION,true,supp_ent_procedure_dental_cleaning,تنظيف الأسنان,Procedure,supp_ent_aftercare_coffee,يمكن شرب القهوة والشاي مع المحافظة على تنظيف الأسنان,AftercareInstruction,إجابة المصدر تقول: اشربي قهوتك وشايك على راحتك مع المحافظة على تنظيف الأسنان.,0.99,dataset-derived supplemental fact from ahd5k_00315,dataset_derived,ahd_qa_source,supp_rel_dental_aftercare,supp_rel_dental_aftercare,HAS_AFTERCARE_INSTRUCTION,direct
supp_rel_tsh_interprets,supp_chunk_test_001,ahd5k_02685,INTERPRETS,INTERPRETS,true,supp_ent_test_tsh,تحليل TSH,DiagnosticTest,supp_ent_thyroid,الغدة الدرقية,DiseaseCondition,قيمة TSH بعد الولادة ترتبط باضطراب نشاط الغدة الدرقية، ويذكر المصدر ضرورة المتابعة تحت إشراف أخصائي الغدد الصم.,0.99,dataset-derived supplemental fact from ahd5k_02685,dataset_derived,ahd_qa_source,supp_rel_tsh_interprets,supp_rel_tsh_interprets,INTERPRETS,direct
supp_rel_cholesterol_lifestyle,supp_chunk_lifestyle_001,ahd5k_00171,MANAGED_BY,MANAGED_BY,true,supp_ent_condition_cholesterol,ارتفاع الكوليسترول,DiseaseCondition,supp_ent_lifestyle_cholesterol,تقليل الدهون والرياضة,LifestyleRecommendation,طرق تخفيض الكوليسترول بدون دواء تعتمد على الجهد والتمارين خاصة المشي والحمية وتجنب الدهون الحيوانية والمقليات.,0.99,dataset-derived supplemental fact from ahd5k_00171,dataset_derived,ahd_qa_source,supp_rel_cholesterol_lifestyle,supp_rel_cholesterol_lifestyle,MANAGED_BY,direct
supp_rel_kidney_stones_management,supp_chunk_kidney_001,ahd5k_00012,TREATED_BY,TREATED_BY,true,supp_ent_condition_kidney_stones,حصى الكلى,DiseaseCondition,supp_ent_kidney_stones_management,الإكثار من السوائل والتقييم الطبي,Treatment,التخلص من الحصى يبدأ بدراستها لمعرفة مكانها وحجمها وطبيعتها ثم يقرر الطبيب كيفية التخلص منها.,0.99,dataset-derived supplemental fact from ahd5k_00012,dataset_derived,ahd_qa_source,supp_rel_kidney_stones_management,supp_rel_kidney_stones_management,TREATED_BY,direct
supp_rel_ibs_management,supp_chunk_ibs_001,ahd5k_01998,MANAGED_BY,MANAGED_BY,true,supp_ent_condition_ibs,القولون العصبي,DiseaseCondition,supp_ent_ibs_lifestyle,تنظيم الغذاء وتقليل المهيجات,LifestyleRecommendation,تبدو الأعراض كقولون عصبي؛ يذكر المصدر تجنب التفكير والقلق والنرفزة وتغيير أنماط تناول الطعام ونوعية الأطعمة.,0.99,dataset-derived supplemental fact from ahd5k_01998,dataset_derived,ahd_qa_source,supp_rel_ibs_management,supp_rel_ibs_management,MANAGED_BY,direct
